,Bernie_Counts,Biden_Counts,Kamala_Counts,Warren_Counts,Total_by_word
fake,4,26,0,2,32
quest,4,171,4,7,186
passionate,4,6,1,2,13
loud,4,3,1,9,17
civil,4,18,6,7,35
stronger,4,13,2,12,31
natural,4,116,3,2,125
roof,4,19,2,3,28
wise,4,14,3,6,27
transparent,4,7,0,3,14
looked,4,36,6,7,53
enormous,4,7,1,5,17
retired,4,3,0,12,19
obvious,4,21,2,11,38
rational,4,13,1,5,23
certainty,4,4,0,4,12
lean,4,18,0,8,30
sentiment,4,8,1,2,15
rural,4,4,3,10,21
steadily,4,5,1,14,24
pathological,4,0,0,0,4
existential,4,3,4,9,20
lifetime,4,2,0,1,7
revolutionary,4,1,1,0,6
understanding,4,17,2,5,28
desire,4,24,8,5,41
opposite,4,5,2,1,12
considerable,4,3,0,4,11
images,4,3,2,1,10
dynamic,4,8,0,3,15
ruined,4,0,0,0,4
showdown,4,3,0,3,10
married,4,3,1,7,15
generous,4,4,0,1,9
shower,4,0,0,0,4
youthful,4,0,0,0,4
sky,3,841,5,5,854
center,3,70,6,8,87
steady,3,12,1,17,33
shut,3,17,10,4,34
guess,3,3,0,2,8
televised,3,12,0,3,18
wonder,3,16,3,4,26
vague,3,9,0,10,22
minute,3,13,0,8,24
understood,3,29,0,0,32
none,3,23,5,10,41
tense,3,14,1,7,25
incredible,3,7,1,2,13
conventional,3,5,0,3,11
fierce,3,9,0,1,13
era,3,41,5,8,57
terrorist,3,5,0,0,8
proof,3,19,2,3,27
greatest,3,8,3,6,20
dismiss,3,13,0,2,18
removed,3,36,8,2,49
furious,3,1,0,2,6
ridiculous,3,13,0,0,16
necessary,3,13,1,12,29
deep,3,15,14,12,44
accessible,3,3,1,0,7
surprised,3,9,2,13,27
offensive,3,5,2,6,16
tremendous,3,12,3,2,20
avoid,3,34,2,7,46
walk,3,7,2,2,14
famous,3,19,2,7,31
negotiate,3,3,0,2,8
active,3,15,1,5,24
favorite,3,12,1,11,27
fine,3,15,1,8,27
candid,3,7,1,3,14
weak,3,12,0,7,22
extraordinary,3,17,2,1,23
dream,3,4,0,15,22
hefty,3,1,0,0,4
bias,3,4,2,0,9
loyalty,3,10,0,4,17
non,3,3,1,4,11
absent,3,4,0,2,9
energetic,3,1,0,3,7
fun,3,3,1,1,8
drastic,3,3,1,0,7
fortunate,3,2,1,1,7
outsider,3,4,0,1,8
subtle,3,5,0,2,10
pathetic,3,7,1,0,11
memorable,3,1,0,3,7
paint,3,3,0,0,6
sum,3,3,2,1,9
hill,3,0,2,0,5
sponsor,3,0,5,2,10
absurd,3,2,0,2,7
sexist,3,0,1,2,6
gross,3,12,0,0,15
affected,3,3,3,6,15
deeper,3,1,0,3,7
ugliness,3,0,0,0,3
impressed,3,2,0,5,10
downtown,3,1,1,1,6
delighted,3,0,1,1,5
decent,3,4,1,1,9
liked,3,4,1,5,13
phase,3,5,1,6,15
environmental,3,11,3,21,38
maximum,3,4,0,5,12
narrow,3,3,1,5,12
rare,3,7,3,5,18
influential,3,6,1,5,15
quiet,3,5,1,1,10
mobile,3,1,0,2,6
epic,3,0,0,0,3
sweep,3,0,0,1,4
appreciate,3,5,1,5,14
compelling,3,6,4,3,16
paced,3,1,1,1,6
patient,3,1,3,0,7
nose,3,1,0,0,4
enjoyed,3,5,1,3,12
draws,3,2,1,2,8
thrust,3,5,1,0,9
elderly,3,0,0,1,4
stable,3,2,0,0,5
lush,3,0,0,0,3
clearer,3,1,0,1,5
reveal,2,9,0,8,19
chased,2,3,0,3,8
confront,2,14,1,2,19
persistent,2,8,0,4,14
behalf,2,42,2,5,51
performs,2,4,0,2,8
mediocre,2,2,0,0,4
driven,2,16,0,5,23
aftermath,2,6,0,1,9
bold,2,6,3,7,18
slight,2,6,3,4,15
shameful,2,7,0,0,9
comfortable,2,14,0,6,22
improve,2,9,1,8,20
legitimate,2,22,0,1,25
notable,2,12,4,2,20
works,2,27,5,8,42
fresh,2,10,1,3,16
inspired,2,3,1,4,10
faith,2,5,6,11,24
simple,2,11,0,7,20
seat,2,27,2,3,34
domestic,2,21,2,5,30
editorial,2,13,0,1,16
ride,2,4,2,5,13
profound,2,5,0,1,8
ranch,2,3,1,2,8
convict,2,1,1,2,6
march,2,4,1,2,9
fail,2,7,1,1,11
complete,2,19,1,3,25
drama,2,8,1,1,12
tragic,2,4,2,0,8
dumb,2,3,0,0,5
unexpected,2,2,0,0,4
scary,2,0,0,2,4
logic,2,2,0,0,4
heartfelt,2,1,0,0,3
demographic,2,5,0,6,13
sympathetic,2,6,0,0,8
stick,2,7,1,4,14
icon,2,3,2,18,25
sophisticated,2,0,0,4,6
glad,2,0,3,0,5
hardest,2,0,0,0,2
convicted,2,7,3,2,14
forceful,2,5,1,5,13
category,2,1,0,0,3
gory,2,3,0,0,5
swift,2,4,1,1,8
switch,2,1,3,3,9
nominated,2,0,1,2,5
genuine,2,6,0,0,8
stalwart,2,2,0,0,4
commanding,2,6,0,3,11
anniversary,2,4,0,2,8
combination,2,2,0,2,6
encouraging,2,14,0,3,19
historic,2,2,3,2,9
rental,2,1,0,1,4
poverty,2,6,2,4,14
intense,2,10,0,5,17
document,2,24,2,1,29
perspective,2,3,1,5,11
thrown,2,4,1,1,8
mixed,2,5,2,3,12
ramble,2,3,0,0,5
unusual,2,10,0,5,17
verbal,2,9,0,0,11
chew,2,0,0,2,4
traced,2,0,0,0,2
embodiment,2,0,0,1,3
satisfied,2,2,1,3,8
decisive,2,0,1,0,3
confidante,2,0,0,0,2
volatile,2,2,0,1,5
bitter,2,3,0,0,5
shine,2,4,0,1,7
newest,2,3,1,3,9
sole,2,4,2,0,8
ideal,2,0,1,3,6
blunt,2,3,0,0,5
intensity,2,1,0,3,6
unveiling,2,2,0,3,7
enable,2,5,0,0,7
adult,2,5,2,0,9
problematic,2,8,0,2,12
atmosphere,2,2,0,1,5
impassioned,2,1,1,0,4
dumbest,2,0,0,0,2
triple,2,1,3,1,7
fabric,2,1,0,1,4
spiritual,2,0,0,0,2
episodes,2,4,0,2,8
parallel,2,1,0,3,6
