"","Bernie_Counts","Biden_Counts","Kamala_Counts","Warren_Counts"
"lovable",1,0,0,0
"dump",2,2,1,1
"refreshing",1,0,1,0
"episodes",2,4,0,2
"twisted",1,0,1,1
"realistic",6,3,1,5
"seriousness",0,1,0,4
"camouflage",0,0,0,1
"charm",0,1,0,3
"inconsequential",0,0,0,1
"lemonade",0,0,0,2
"irrelevant",0,6,0,1
"smooth",0,1,0,1
"proverbial",0,1,0,1
"pitiful",0,0,0,1
"graphical",0,0,0,1
"autobiographical",0,0,0,1
"tedious",0,0,0,1
"charismatic",1,0,1,1
"intelligent",0,0,0,2
"outward",0,1,1,1
"stoic",0,0,1,1
"epiphany",0,1,0,2
"saddle",0,0,0,1
"parallel",2,5,0,3
"frontal",0,2,0,1
"gunshot",0,0,1,0
"kindness",0,0,4,0
"lesbian",0,1,1,1
"poignant",0,1,1,0
"ankle",0,1,2,0
"technicality",0,0,1,0
"revered",0,0,1,0
"consumed",0,4,2,0
"unrealistic",2,1,1,2
"unreal",2,1,1,2
"consecutive",0,1,2,1
"streak",0,0,1,0
"forest",3,1,0,0
"derivative",1,0,0,0
"billed",2,2,0,0
"smallest",0,1,0,1
"lazy",0,1,0,1
"delicate",1,7,0,1
"retrospective",0,1,0,0
"insightful",0,0,1,2
"reboot",1,5,3,0
"detour",0,1,0,0
"plight",0,1,0,0
"lowest",2,2,0,4
"defy",0,2,1,0
"poorly",0,5,0,1
"noise",0,2,0,2
"premise",4,4,1,3
"amidst",0,1,0,0
"lighten",0,2,0,0
"watchable",0,2,1,0
"shoddy",0,1,0,0
"naked",0,1,0,1
"lucky",0,2,0,0
"harrowing",1,1,0,0
"nostalgic",0,1,0,0
"random",0,1,0,0
"instant",1,2,1,3
"singular",0,3,0,1
"suitable",0,2,0,1
"savior",0,2,0,0
"restored",2,3,0,0
"yesteryear",0,2,0,0
"winter",0,1,1,1
"wardrobe",0,1,0,0
"uncommon",1,1,0,0
"delicious",0,1,0,0
"impulse",0,3,0,1
"nonexistent",1,3,0,0
"implausible",2,3,0,0
"affluent",2,1,0,3
"nascent",1,1,0,1
"distinctive",1,0,0,1
"psychological",2,0,1,1
"palpable",1,1,0,2
"frantic",1,1,0,0
"lush",4,0,0,0
"demolish",0,0,0,1
"prey",0,0,0,3
"adventure",0,1,0,1
"lifestyle",2,1,0,1
"gamble",0,1,1,1
"satisfying",0,0,0,1
"satisfy",0,1,0,2
"uplifting",0,1,0,1
"meteoric",0,0,0,1
"useless",0,0,0,1
"faithful",0,1,0,1
"crisp",0,0,0,1
"infinite",0,0,0,2
"sleeve",0,0,0,1
"momentary",0,0,1,0
"genteel",0,1,0,0
"knife",0,2,2,0
"jealous",0,1,0,0
"underline",1,1,0,0
"accent",0,1,0,0
"whereabouts",0,1,0,0
"elusive",0,1,0,0
"feisty",2,1,0,1
"electrical",0,1,0,0
"undercurrent",0,1,0,0
"ensemble",0,1,0,0
"generic",0,6,0,1
"cerebral",0,2,0,0
"bubble",0,3,0,0
"prolific",0,1,0,1
"needle",1,1,0,0
"memoir",0,3,1,5
"choppy",0,1,0,0
"sniper",1,0,0,1
"fantastic",1,1,0,1
"imaginary",1,1,0,0
"youthful",5,1,0,1
"prophet",2,0,0,1
"disown",0,0,0,1
"classical",0,0,0,2
"polished",0,0,0,1
"polish",0,0,0,1
"nightmarish",0,0,0,1
"musical",0,1,0,1
"superb",0,0,0,1
"stranger",0,2,0,1
"downside",0,0,0,2
"export",0,2,4,2
"jean",0,0,1,1
"prevail",1,3,2,3
"imagery",0,0,1,0
"detective",0,0,1,0
"unknowns",0,2,0,0
"lieutenant",1,3,0,0
"irascible",1,0,0,0
"extinct",0,0,0,1
"satellite",0,1,0,0
"cynical",0,1,0,0
"giddy",0,1,0,0
"romantic",0,2,0,0
"personable",0,1,0,0
"lighter",0,1,0,1
"underappreciated",0,1,0,0
"nastiest",0,1,0,0
"suburbs",1,3,1,0
"narcissistic",0,2,0,0
"onset",0,1,1,0
"monkey",0,1,0,0
"advertised",1,1,0,0
"click",0,3,1,1
"proceeded",0,1,0,0
"silly",0,1,0,0
"vertical",0,1,0,0
"sluggish",0,1,0,0
"realm",0,1,0,0
"morale",0,4,0,0
"witty",0,1,0,0
"sunshine",0,1,0,0
"behavioral",0,2,0,0
"swallow",0,3,0,0
"coarse",0,4,0,0
"lukewarm",0,1,0,0
"bevy",0,1,0,0
"combines",0,1,0,0
"tyrant",1,5,0,0
"amateurish",0,1,0,0
"amateur",0,1,0,0
"nonsensical",0,1,0,1
"peaceful",0,1,0,0
"sunrise",0,1,0,0
"gamut",1,1,0,0
"careless",0,1,0,0
"indy",0,2,0,0
"ridiculousness",0,1,0,0
"nutty",0,1,0,0
"depicted",0,1,0,0
"exceptional",0,1,1,0
"noir",0,1,0,0
"schoolyard",0,1,0,0
"fairytale",0,1,0,0
"fairy",0,1,0,0
"minimal",1,1,0,1
"optimistic",1,3,0,1
"burnish",0,1,0,0
"annoyed",0,1,0,0
"slack",2,1,0,2
"virulent",0,1,0,0
"fictitious",0,1,0,0
"nausea",0,1,0,0
"relaxed",0,1,0,1
"sadness",0,1,0,0
"darkest",0,1,0,0
"compressed",0,1,0,0
"dealt",1,1,0,1
"assaults",0,1,0,0
"appreciative",0,1,0,0
"rockin",0,1,0,0
"unheard",0,1,0,1
"unfamiliar",0,1,0,0
"wistful",0,1,0,0
"deplorable",0,1,0,0
"makeup",0,1,0,0
"admired",0,1,0,0
"lonely",1,1,0,2
"hyped",0,1,0,0
"exile",0,1,0,0
"clumsy",0,1,0,0
"scoundrel",0,1,0,0
"stillness",0,1,0,0
"repetitive",0,1,0,0
"subconscious",0,1,0,0
"upbeat",0,1,0,0
"limo",0,1,0,0
"stereotypical",0,1,0,0
"reconcile",0,1,0,0
"pointless",0,1,0,0
"cheese",0,1,1,2
"paraphrase",0,1,0,0
"irresistible",0,1,0,0
"gritty",0,1,0,0
"reunite",1,0,0,0
"caricature",1,0,0,0
"tricky",2,0,0,2
"spoof",1,0,0,0
"glimpse",1,0,0,0
"adapted",1,0,0,0
"fantasy",1,0,0,0
"celebratory",1,0,0,0
"poem",1,0,0,0
"outer",1,0,0,0
"beauty",1,0,1,0
"inimitable",1,0,0,0
"studied",1,0,0,2
"visceral",1,0,0,0
"mistrust",1,0,0,0
"purse",1,0,0,1
"umpteen",1,0,0,0
"fulfillment",1,0,0,0
"sloppy",1,0,0,1
"uncompromising",1,0,0,1
"runaway",1,0,0,0
"meticulous",0,0,0,1
"inhuman",0,0,0,1
"perceptive",0,0,0,1
"scariest",0,0,0,1
"simpler",0,0,0,1
"interplay",0,0,0,1
"torment",0,0,0,2
"dreadful",0,0,0,2
"exuberant",0,0,0,2
"stuffy",0,0,0,2
"underwear",0,0,0,2
"contemporary",0,0,0,2
"rumble",0,0,0,1
"offbeat",0,0,0,1
"operatic",0,0,0,1
"theatrical",0,0,0,1
"vampire",0,0,0,1
"doubtless",0,0,0,1
"token",0,0,0,1
"feuding",0,0,0,1
"german",0,0,0,1
"portrait",0,0,0,1
"plentiful",0,0,0,1
"danced",0,0,1,0
"surreal",0,0,1,0
"outcast",0,0,1,0
"climactic",0,0,1,0
"pessimistic",0,0,1,0
"underrated",0,0,1,0
"darker",0,0,2,0
"ninth",0,0,1,0
"retarded",0,0,2,0
"riveting",0,0,1,0
"toys",0,0,1,0
"hybrid",0,0,1,0
"overact",0,0,1,0
"meek",0,0,1,0
"lyrical",0,0,1,0
"poetic",0,0,1,0
"poet",0,0,1,0
"richness",0,0,1,0
"dreary",0,0,1,0
"understated",0,0,1,0
"favour",0,0,2,0
"descendant",0,0,1,0
