"","Bernie_Counts","Biden_Counts","Kamala_Counts","Warren_Counts"
"seat",2,45,4,9
"pathetic",3,13,1,1
"trim",1,7,0,3
"shoot",6,32,14,6
"hoot",6,34,15,6
"essential",16,36,0,20
"confident",7,19,3,8
"welcome",7,14,3,2
"dismiss",17,124,2,19
"troubled",0,13,0,1
"individual",26,32,3,24
"obvious",11,50,10,25
"awful",1,49,2,2
"terrible",7,11,2,2
"supposedly",0,20,0,4
"love",16,37,16,24
"future",15,24,6,18
"unfortunately",1,3,0,2
"adult",4,16,6,5
"switch",3,6,4,4
"deep",11,60,19,34
"overt",8,26,7,16
"televised",3,25,0,3
"hammer",2,16,0,0
"important",24,81,9,39
"stab",33,81,6,31
"perceive",2,25,2,10
"embarrassing",0,3,3,3
"seventh",1,3,3,0
"greatest",3,10,3,6
"everyday",1,4,0,2
"rant",38,146,23,37
"pivotal",0,2,1,3
"larger",5,21,1,10
"touch",4,40,7,12
"complete",10,65,14,10
"sentiment",7,17,1,7
"lean",24,70,5,34
"protect",12,151,19,49
"defeat",35,39,5,19
"greed",35,43,8,16
"happy",11,29,3,6
"drum",1,44,4,3
"immigrant",3,9,8,12
"green",4,9,2,7
"economic",28,30,5,54
"tells",7,43,3,17
"unto",0,10,0,2
"wonder",6,40,10,11
"nobody",7,15,1,5
"accurate",4,41,2,6
"ultimate",10,43,2,15
"additional",24,20,2,17
"fail",14,92,31,41
"definitive",1,8,0,1
"gratuitous",0,1,1,0
"poor",10,67,10,9
"corporate",62,20,5,43
"passionate",4,8,2,2
"interrupted",1,9,1,5
"mediocre",2,3,0,0
"moderate",15,78,7,44
"highest",12,17,4,7
"mistake",9,48,3,16
"tumble",2,18,3,1
"stumble",2,17,0,1
"advanced",7,10,1,2
"winded",0,2,0,1
"shady",0,17,0,1
"mean",54,186,21,76
"understood",3,39,0,0
"true",17,85,8,34
"discern",0,6,0,0
"understands",8,7,1,1
"demonic",0,1,0,0
"explicit",5,113,3,19
"driven",2,17,0,7
"innocent",0,8,8,0
"none",5,39,5,11
"distant",12,7,3,6
"joke",5,28,15,14
"insult",1,12,3,1
"ego",13,49,5,16
"calm",1,6,0,6
"grand",4,13,5,3
"incredible",3,10,1,2
"biography",0,5,0,11
"friendship",2,5,1,2
"perfect",1,60,1,9
"boring",5,3,1,4
"conventional",3,6,0,3
"outstanding",5,3,0,1
"memorable",3,2,1,6
"bin",37,125,22,52
"lighthearted",0,1,0,0
"poverty",4,7,2,5
"comedic",0,1,0,0
"eldest",0,3,1,0
"aftermath",2,10,1,2
"bomb",3,16,2,1
"touched",1,15,0,1
"structural",7,3,1,22
"bold",4,14,4,12
"acting",8,78,8,9
"brutal",1,3,2,3
"daily",6,16,1,6
"lacked",0,4,1,4
"fragility",0,1,0,1
"popular",26,35,8,33
"sometimes",16,28,4,10
"servant",0,8,4,0
"fierce",6,10,1,2
"fine",9,34,3,11
"sends",0,6,1,1
"tempting",0,46,5,4
"grim",1,1,0,0
"scant",1,11,0,0
"civil",5,26,8,7
"norm",17,39,4,15
"latin",7,70,11,13
"slight",14,23,5,16
"abhorrent",1,6,0,1
"shameful",2,8,0,1
"dark",1,13,5,1
"urban",1,12,3,7
"suburban",1,4,0,6
"tighten",0,1,0,2
"tight",3,7,2,13
"southern",0,6,3,4
"demographic",2,7,1,7
"comfortable",3,23,0,10
"looked",4,44,6,7
"remote",1,5,0,1
"bag",5,10,3,3
"shower",4,3,0,1
"improve",5,11,3,16
"striking",9,19,3,15
"friendly",1,20,1,9
"blame",2,17,8,3
"promising",8,13,4,13
"dame",21,28,1,17
